prefix,vendor
000393,Apple
000A27,Apple
001124,Apple
001451,Apple
0016CB,Apple
0017F2,Apple
001B63,Apple
001CB3,Apple
001EC2,Apple
001FF3,Apple
0021E9,Apple
002241,Apple
002312,Apple
002332,Apple
002436,Apple
002500,Apple
002608,Apple
00264A,Apple
003065,Apple
003EE1,Apple
0050E4,Apple
0056CD,Apple
006D52,Apple
00CDFE,Apple
041552,Apple
04489A,Apple
04D3CF,Apple
04F13E,Apple
086D41,Apple
0C4DE9,Apple
0C771A,Apple
1093E9,Apple
14BD61,Apple
18AF61,Apple
1C5CF2,Apple
203CAE,Apple
20C9D0,Apple
24240E,Apple
28CFDA,Apple
2CF0A2,Apple
34C059,Apple
3C0754,Apple
3CAB8E,Apple
40A6D9,Apple
40CB C0,Apple
44D884,Apple
48A195,Apple
4C57CA,Apple
50EA D6,Apple
5C5948,Apple
60F81D,Apple
64B9E8,Apple
6C4008,Apple
70CD60,Apple
7C6D62,Apple
7CD1C3,Apple
80E650,Apple
843835,Apple
88E9FE,Apple
8C8590,Apple
90B21F,Apple
98F0AB,Apple
9C20 7B,Apple
A4B197,Apple
A860B6,Apple
ACBC32,Apple
B065BD,Apple
B8E856,Apple
BC926B,Apple
C82A14,Apple
D0034B,Apple
D49A20,Apple
DC2B2A,Apple
E0B9BA,Apple
E4CE8F,Apple
F0B479,Apple
F40F24,Apple
F8FF C2,Apple
001A11,Google
3C5AB4,Google
546009,Google
F4F5D8,Google
18B430,Nest Labs
641666,Nest Labs
001788,Philips Lighting
001E C0,ARRIS
0026B8,ARRIS
001DD1,ARRIS
001A2B,Cisco
001B0C,Cisco
001C58,Cisco
0021A0,Cisco
0022BD,Cisco
0023EB,Cisco
0024C4,Cisco
0026CB,Cisco
000C29,VMware
005056,VMware
000569,VMware
080027,Oracle VirtualBox
00155D,Microsoft
281878,Microsoft
7C1E52,Microsoft
000D3A,Microsoft
B827EB,Raspberry Pi Foundation
DC A632,Raspberry Pi Trading
E45F01,Raspberry Pi Trading
2CCF67,Raspberry Pi Trading
D83ADD,Raspberry Pi Trading
001E8C,ASUSTek Computer
2C4D54,ASUSTek Computer
50465D,ASUSTek Computer
60A44C,ASUSTek Computer
AC220B,ASUSTek Computer
001F33,NETGEAR
0024B2,NETGEAR
204E7F,NETGEAR
6CB0CE,NETGEAR
A040A0,NETGEAR
E0469A,NETGEAR
00195B,D-Link
001CF0,D-Link
0022B0,D-Link
1C7EE5,D-Link
28107B,D-Link
C8BE19,D-Link
001D0F,TP-Link
14CC20,TP-Link
18A6F7,TP-Link
50C7BF,TP-Link
60E327,TP-Link
6466B3,TP-Link
98DA C4,TP-Link
B0487A,TP-Link
C025E9,TP-Link
F4F26D,TP-Link
001A92,ASUSTek Computer
001E10,ShenZhen Huawei
002568,Shenzhen Huawei
4C5499,Shenzhen Huawei
70723C,Shenzhen Huawei
AC853D,Shenzhen Huawei
001632,Samsung Electronics
001D25,Samsung Electronics
002339,Samsung Electronics
002454,Samsung Electronics
0026E2,Samsung Electronics
18E7F4,Samsung Electronics
5C0A5B,Samsung Electronics
8C7712,Samsung Electronics
C45006,Samsung Electronics
E8508B,Samsung Electronics
001D D8,Microsoft Xbox
7C1E52,Microsoft Xbox
0025A0,Nintendo
002709,Nintendo
7CBB8A,Nintendo
0019C5,Sony Interactive Entertainment
001D0D,Sony Interactive Entertainment
001FA7,Sony Interactive Entertainment
78C881,Sony Interactive Entertainment
AC89BD,Amazon Technologies
F0272D,Amazon Technologies
FCA667,Amazon Technologies
44650D,Amazon Technologies
6837E9,Amazon Technologies
000E58,Sonos
347E5C,Sonos
542A1B,Sonos
7828CA,Sonos
949F3F,Sonos
B8E937,Sonos
